14163,14391,14541,14673,14921,15043,15227,15317,15542,15685,15798,16077,346,301,392,617,780,856,1096,1242,1330,1435,1713,1874,1921,2070,2297,2423,2530,2786,2918,3028,3197,3390,3523,3678,3918,4012,4164,4290,4527,4662,4795,4979,5168,5292,5422,5692,5768,5921,6171,6307,6423,6540,6857,6929,7046,7298,7437,7546,7678,7938,8084,8168,8326,8584,8679,8809,9061,9212,9312,9446,9700,9832,9964,10208,10346,10471,10528,10853,10981,11096,11367,11490,11616,11743,11983,12120,12247,12492,12630,12742,12883,13139,13254,13396,13573,13766,13666,14044,14287,14419,14504,14665,14922,15070,15199,15434,15560,15698,15820,16099,351,259,525,636,746,871,1102,1215,1330,1597,1648,1797,1927,2189,2295,2420
2661,2780,2897,3010,3226,3429,3620,3784,3923,4025,4165,4394,4519,4665,4779,5058,5194,5294,5586,5675,5805,5924,6173,6302,6421,6694,6782,6931,7050,7337,7438,7531,7814,7950,8029,8200,8426,8640,8732,8930,9059,9177,9340,9540,9717,9824,10070,10210,10371,10442,10718,10895,11006,11083,11406,11484,11613,11847,12041,12104,12290,12504,12591,12758,12937,13119,13260,13387,13634,13738,13939,14146,14183,14374,14540,14783,14813,15068,15302,15428,15537,15710,15954,16081,346,425,541,630,744,997,1081,1221,1346,1589,1701,1802,2057,2190,2286,2405,2627,2839,2908,3165,3275,3401,3537,3787,3900,4038,4304,4414,4531,4687,4915,5024,5145,5420,5549,5691,5798,6032,6184,6345,6534,6662,6861,6934
7191,7316,7432,7548,7815,7928,8073,8298,8440,8566,8686,8946,9066,9198,9451,9568,9708,9820,10106,10207,10348,10589,10710,10854,10962,11221,11370,11458,11714,11869,12003,12097,12380,12483,12610,12884,13011,13134,13265,13479,13641,13773,13904,14154,14278,14386,14665,14791,14951,15052,15316,15459,15557,15811,15958,16091,341,403,545,637,922,985,1098,1213,1449,1600,1693,1953,2044,2179,2278,2548,2650,2784,3030,3164,3300,3416,3673,3789,3892,4039,4251,4410,4526,4743,4962,5004,5180,5397,5507,5681,6025,6032,6176,6276,6563,6711,6846,7025,7170,7364,7444,7671,7810,7945,8162,8319,8440,8563,8821,8939,9077,9276,9461,9567,9716,9948,10114,10183,10361,10584,10710,10832,11116,11217,11401,11436
11763,11885,12011,12247,12391,12484,12662,12871,13043,13150,13382,13570,13641,13756,14026,14153,14278,14540,14673,14814,14942,15158,15317,15424,15689,15829,15949,16099,428,407,538,625,816,972,1099,1300,1436,1576,1711,1900,2045,2204,2263,2586,2677,2804,3033,3190,3291,3533,3685,3803,3921,4219,4256,4406,4665,4736,4910,5030,5272,5395,5507,5786,5916,6045,6186,6412,6490,6698,6745,7056,7163,7308,7556,7709,7818,7945,8186,8306,8428,8677,8815,8917,9067,9342,9452,9588,9842,9954,10043,10208,10469,10587,10722,10983,11104,11208,11361,11598,11734,11882,12105,12241,12333,12434,12756,12869,13008,13122,13392,13529,13610,13904,14034,14155,14278,14531,14676,14797,15039,15182,15295,15466,15689,15813,15965,364
319,404,536,752,873,974,1192,1343,1450,1570,1795,1927,2043,2293,2411,2542,2669,2908,3036,3173,3293,3538,3686,3803,4045,4161,4282,4409,4688,4803,4912,5216,5296,5425,5597,5800,5912,6041,6293,6417,6537,6647,6937,7029,7206,7458,7576,7675,7811,8060,8174,8270,8552,8647,8828,8935,9313,9330,9467,9611,9836,9944,10111,10356,10488,10587,10714,10966,11093,11212,11470,11612,11729,11888,12127,12229,12404,12605,12764,12905,13005,13274,13398,13519,13774,13787,14067,14169,14461,14528,14684,14812,15066,15194,15311,15568,15710,15800,15953,334,297,369,645,750,847,959,1212,1337,1429,1694,1806,1928,2028,2292,2434,2533,2790,2921,3035,3171,3444,3556,3612,3933,4064,4179,4283,4536
4673,4826,5053,5184,5292,5433,5676,5806,5948,6057,6292,6462,6536,6806,6935,7050,7198,7422,7551,7667,7935,8061,8184,8319,8570,8678,8814,9069,9190,9290,9460,9684,9837,9965,10211,10329,10468,10560,10811,10977,11087,11371,11429,11600,11729,11989,12120,12121,12374,12620,12748,12883,13134,13248,13400,13515,13742,13899,14042,14268,14424,14545,14663,14920,15060,15198,15463,15565,15690,15821,16068,536,302,543,634,753,875,1102,1296,1317,1574,1700,1800,1928,2174,2309,2423,2544,2780,2918,3037,3291,3409,3521,3670,3928,4035,4156,4417,4529,4678,4788,5034,5220,5291,5537,5664,5800,5933,6166,6293,6414,6656,6808,6935,7059,7315,7427,7565,7823,7940,8068,8187,8425,8551,8677,8841,9066
9181,9326,9574,9689,9836,9960,10224,10329,10466,10708,10902,10965,11081,11358,11520,11619,11869,11937,12134,12239,12497,12632,12734,12958,13175,13257,13358,13631,13786,13915,14160,14294,14418,14542,14766,14917,15070,15172,15437,15569,15690,15946,16055,302,290,509,631,743,1007,1094,1217,1285,1607,1722,1792,2038,2153,2357,2416,2640,2797,2907,3133,3186,3395,3543,3792,3908,4256,4294,4420,4530,4679,4931,5055,5169,5240,5532,5628,5726,6036,6136,6268,6427,6675,6806,6942,7203,7311,7470,7566,7822,7910,8076,8321,8426,8490,8686,8936,9066,9184,9401,9569,9701,9837,10075,10222,10349,10592,10713,10866,10987,11243,11177,11469,11598,11873,11999,12113,12365,12483,12615,12739,13026,13114,13240,13518,13615
13780,13904,14160,14333,14414,14672,14783,14939,15063,15307,15433,15500,15828,15955,16067,309,420,554,647,846,968,1100,1211,1462,1559,1693,1810,2060,2173,2286,2522,2677,2793,2915,3158,3243,3407,3656,3799,3915,3987,4288,4396,4563,4794,4933,5036,5165,5431,5548,5680,5928,6048,6170,6304,6536,6691,6819,7043,7163,7310,7439,7702,7816,7943,8078,8315,8434,8542,8827,8951,9065,9199,9435,9580,9705,9955,10084,10260,10354,10578,10686,10859,11109,11219,11358,11482,11783,11872,11993,12246,12376,12506,12627,12864,13014,13127,13389,13511,13641,13761,14038,14169,14281,14412,14648,14795,14939,15172,15308,15445,15550,15821,15974,16083,458,416,508,630,852,962,1102,1321,1454,1567,1720,1956,2086
2163,2425,2492,2655,2806,2994,3168,3284,3519,3660,3772,3918,4210,4284,4421,4582,4791,4934,4994,5274,5429,5552,5690,5932,6050,6179,6422,6483,6651,6815,7005,7174,7328,7559,7702,7805,7958,8182,8319,8405,8694,8830,8949,9102,9321,9201,9555,9865,9972,10093,10244,10474,10608,10717,10848,11100,11226,11392,11612,11739,11889,12042,12240,12372,12522,12748,12859,13020,13131,13372,13458,13652,13854,14062,14172,14278,14428,14661,14767,15032,15179,15295,15449,15672,15814,16000,6684,304,439,502,778,869,973,1062,1332,1482,1581,1792,1924,2061,2197,2403,2545,2666,2932,3025,3182,3290,3518,3680,3812,4032,4049,4240,4426,4654,4807,4862,5151,5286,5348,5540,5796,5979,6056,6286,6414,6548
6680,6916,7129,7198,7306,7529,7646,7822,7957,8182,8364,8433,8683,8818,8944,9189,9322,9454,9596,9850,9973,10077,10338,10483,10587,10731,10978,11069,11211,11495,11624,11735,11887,12120,12253,12377,12622,12743,12879,13001,13253,13403,13536,13646,13901,14034,14167,14420,14526,14720,14790,15064,15168,15310,15562,15678,15819,15948,352,311,416,656,778,856,952,1215,1337,1448,1628,1809,1925,2045,2302,2415,2530,2734,2909,3036,3160,3404,3514,3666,3784,3986,4169,4291,4523,4662,4800,4913,5178,5281,5416,5664,5800,5945,6049,6296,6441,6545,6756,6922,7093,7174,7441,7552,7682,7928,8065,8208,8266,8566,8679,8791,9046,9206,9300,9427,9756,9839,9963,10114,10373,10451,10604,10851,10975,11081
11216,11466,11596,11759,12012,12142,12235,12375,12625,12738,12871,13189,13255,13410,13541,13767,13906,14033,14331,14346,14531,14665,14920,15022,15166,15438,15570,15716,15812,16078,400,307,387,635,768,877,1100,1192,1329,1428,1700,1741,1936,2202,2289,2423,2546,2813,2902,3053,3285,3390,3537,3672,3927,4046,4063,4382,4523,4674,4794,4996,5197,5291,5532,5678,5798,5913,6147,6289,6418,6543,6800,6912,7046,7312,7434,7577,7670,7946,8060,8195,8440,8502,8680,8842,9078,9210,9306,9580,9673,9834,9977,10188,10248,10468,10709,10870,11000,11118,11356,11495,11608,11873,11932,12128,12254,12493,12623,12730,12889,13135,13265,13389,13643,13764,13908,14033,14271,14419,14536,14786,14931,15028,15179,15445,15567,15653
15950,16092,338,298,597,645,751,977,1098,1217,1324,1589,1669,1808,2067,2178,2296,2422,2679,2790,2914,3019,3296,3413,3527,3777,3920,4040,4140,4409,4537,4678,4940,5026,5162,5299,5540,5669,5807,6057,6162,6291,6421,6675,6807,6934,7200,7329,7431,7568,7810,7938,8074,8306,8416,8564,8664,8931,9076,9209,9335,9579,9687,9844,10099,10208,10357,10466,10721,10851,11034,11225,11368,11500,11600,11862,11992,12124,12394,12496,12592,12791,12995,13128,13281,13534,13670,13734,13817,14232,14268,14417,14665,14801,14925,15052,15293,15448,15561,15710,15932,16089,352,408,537,652,748,983,1093,1209,1447,1569,1679,1809,2045,2222,2283,2580,2692,2750,2922,3166,3290,3401,3670,3785,3912,4120
4286,4408,4543,4790,4885,5028,5136,5431,5566,5662,5784,6037,6188,6312,6540,6725,6815,6949,7169,7337,7420,7679,7844,7925,8069,8317,8442,8580,8829,8974,9067,9171,9445,9559,9710,9974,10099,10226,10354,10581,10689,10844,11104,11232,11366,11485,11717,11888,12000,12121,12386,12506,12626,12884,12989,13139,13252,13512,13660,13812,14022,14150,14289,14418,14654,14800,14919,15172,15325,15445,15536,15817,15961,16092,442,387,525,614,936,966,1101,1329,1431,1581,1687,1927,2042,2184,2300,2524,2670,2822,3042,3142,3296,3423,3661,3775,3907,4168,4345,4410,4533,4793,4922,5031,5285,5416,5532,5649,5928,6034,6174,6424,6548,6682,6796,7037,7163,7336,7561,7657,7817,7950,8191,8261,8463,8541
8820,8944,9063,9310,9452,9628,9690,9938,10086,10209,10476,10587,10711,10858,11117,11220,11411,11616,11729,11883,12050,12237,12379,12512,12747,12884,13016,13119,13382,13517,13645,13891,14054,14156,14277,14554,14689,14805,14922,15189,15314,15440,15688,15815,15958,16062,442,416,528,754,862,990,1093,1330,1447,1586,1812,1936,2064,2205,2410,2539,2685,2915,3046,3183,3300,3606,3669,3779,4011,4131,4258,4423,4698,4798,4859,5042,5299,5404,5514,5814,5934,5978,6145,6492,6518,6696,6924,7058,7140,7318,7512,7726,7836,8080,8218,8275,8459,8663,8835,8956,9014,9341,9486,9565,9793,9970,10098,10337,10497,10586,10680,11014,11100,11230,11318,11593,11718,11879,12129,12239,12360,12497,12773,12874,13032,13254
13421,13525,13647,13899,14039,14173,14415,14408,14639,14767,15060,15028,15308,15564,15689,15828,15946,363,410,394,664,752,878,991,1202,1360,1434,1593,1801,1924,2063,2290,2396,2527,2648,2913,3033,3170,3352,3509,3665,3787,4043,4161,4242,4527,4659,4798,4902,5173,5289,5415,5684,5783,5896,6054,6277,6454,6565,6793,6933,7045,7188,7430,7559,7684,7788,8060,8188,8303,8555,8688,8835,8953,9170,9329,9469,9720,9826,9962,10084,10343,10490,10589,10931,10966,11086,11230,11481,11610,11739,11978,12123,12233,12367,12636,12740,12897,13126,13244,13410,13523,13781,13897,14047,14178,14410,14545,14663,14941,15045,15189,15336,15571,15681,15884,16083,293,317,409,632,756,849,1096,1229,1330,1442,1719
1814,1895,2170,2305,2395,2539,2787,2907,3064,3305,3408,3550,3667,3924,4014,4161,4297,4525,4655,4780,5050,5170,5301,5367,5699,5766,5839,6204,6252,6375,6534,6772,6950,6969,7305,7438,7552,7665,7997,8056,8172,8469,8545,8669,8828,9057,9220,9328,9559,9689,9849,9981,10177,10317,10428,10598,10848,10969,11094,11405,11473,11615,11741,11992,12092,12260,12500,12556,12714,12885,13128,13231,13402,13693,13730,13854,13935,14346,14412,14516,14783,14922,14922,15156,15448,15550,15657,15934,16082,357,293,540,646,746,856,1095,1221,1318,1570,1696,1889,1959,2190,2298,2431,2742,2789,2919,3039,3268,3390,3526,3789,3910,4026,4150,4408,4528,4691,4909,5036,5176,5310,5560,5673,5798,6028,6161
6213,6435,6681,6806,6954,7061,7321,7403,7563,7830,8000,8056,8227,8439,8563,8680,8938,9054,9196,9307,9570,9704,9851,10096,10212,10335,10466,10701,10850,10968,11219,11368,11490,11602,11871,11999,12122,12359,12486,12613,12748,13010,13132,13263,13365,13640,13758,13915,14172,14275,14425,14526,14788,14941,15067,15300,15442,15564,15694,15949,16085,350,422,507,677,754,977,1102,1219,1455,1598,1691,1796,2069,2165,2309,2542,2734,2774,2896,3178,3277,3407,3620,3798,3904,4034,4283,4371,4540,4720,4868,5013,5189,5407,5544,5607,5781,6038,6176,6295,6546,6692,6812,6910,7170,7310,7484,7706,7837,7916,8065,8357,8421,8569,8814,8946,9108,9206,9450,9553,9698,9852,10171,10220,10345,10559,10718
10856,11005,11231,11378,11472,11760,11876,12005,12120,12368,12476,12615,12896,13028,13123,13271,13516,13635,13767,14048,14152,14261,14437,14632,14794,14922,15228,15341,15440,15573,15827,15961,16076,349,417,494,652,856,965,1093,1222,1439,1557,1680,1931,2072,2144,2293,2545,2692,2780,3028,3171,3292,3419,3668,3797,3928,4171,4285,4407,4537,4795,4916,5038,5289,5416,5523,5675,5899,6047,6183,6297,6488,6682,6811,7047,7057,7318,7432,7711,7828,7949,8197,8327,8434,8563,8817,8991,9072,9325,9415,9574,9710,9957,10064,10236,10460,10590,10735,10852,11049,11224,11374,11608,11738,11864,12003,12251,12377,12484,12614,12890,13008,13137,13388,13511,13641,13763,14034,14158,14279,14525,14670,14792,14935,15161,15302
15438,15694,15812,15969,16064,424,405,537,803,865,971,1068,1351,1435,1506,1782,1920,2060,2174,2411,2506,2681,2789,3053,3191,3290,3532,3649,3792,3954,4164,4047,4383,4719,4793,4927,5029,5292,5421,5553,5781,5933,6045,6212,6406,6577,6690,6915,7072,7194,7257,7545,7701,7839,8057,8170,8288,8448,8696,8823,8953,9067,9312,9451,9564,9877,9956,10096,10214,10430,10492,10725,10990,11123,11014,11376,11562,11737,11843,12159,12220,12346,12493,12735,12892,13032,13252,13337,13431,13645,13911,14102,14169,14381,14570,14660,14779,15034,15162,15341,15433,15695,15825,15953,373,290,394,528,750,830,971,1213,1335,1450,1501,1802,1923,2067,2300,2434,2520,2670,2910,3037,3176,3420,3524,3680
